,T0,T1,assumption,positive_only,countries,sample_size,power,follow_up
112,3,8,best,FALSE,4,865.106,0.933,1145.954213
113,3,9,best,FALSE,4,865.106,0.938,1208.714683
114,3,10,best,FALSE,4,865.106,0.947,1257.426383
115,4,5,best,FALSE,4,1152.824,0.899,732.9599961
116,4,6,best,FALSE,4,1152.824,0.949,888.3082892
117,4,7,best,FALSE,4,1152.824,0.964,1008.836364
118,4,8,best,FALSE,4,1152.824,0.978,1102.335257
119,4,9,best,FALSE,4,1152.824,0.984,1174.859008
120,4,10,best,FALSE,4,1152.824,0.989,1231.088944
121,5,5,best,FALSE,4,1441.158,0.928,619.9900467
122,5,6,best,FALSE,4,1441.158,0.974,800.921141
123,5,7,best,FALSE,4,1441.158,0.983,941.1725025
124,5,8,best,FALSE,4,1441.158,0.991,1049.893462
125,5,9,best,FALSE,4,1441.158,0.997,1134.207573
126,5,10,best,FALSE,4,1441.158,0.998,1199.545638
127,3,5,unif,FALSE,4,863.418,0.397,809.1606369
128,3,6,unif,FALSE,4,863.418,0.45,935.9827328
129,3,7,unif,FALSE,4,863.418,0.505,1032.7616
130,3,8,unif,FALSE,4,863.418,0.547,1106.640302
131,3,9,unif,FALSE,4,863.418,0.56,1163.079679
132,3,10,unif,FALSE,4,863.418,0.586,1206.233295
133,4,5,unif,FALSE,4,1150.819,0.479,718.648003
134,4,6,unif,FALSE,4,1150.819,0.529,867.0785813
135,4,7,unif,FALSE,4,1150.819,0.605,980.3525978
136,4,8,unif,FALSE,4,1150.819,0.663,1066.819949
137,4,9,unif,FALSE,4,1150.819,0.687,1132.945395
138,4,10,unif,FALSE,4,1150.819,0.706,1183.48343
139,5,5,unif,FALSE,4,1438.97,0.497,608.2273622
140,5,6,unif,FALSE,4,1438.97,0.594,782.8963302
141,5,7,unif,FALSE,4,1438.97,0.666,916.1259554
142,5,8,unif,FALSE,4,1438.97,0.718,1017.789322
143,5,9,unif,FALSE,4,1438.97,0.764,1095.441791
144,5,10,unif,FALSE,4,1438.97,0.794,1154.750889
